host_since,diff_host_since,first_review
2014-01-31,784.0,2016-03-25
2015-01-29,296.0,2015-11-21
2014-01-31,700.0,2016-01-01
2015-09-11,269.0,2016-06-06
2015-07-23,114.0,2015-11-14
2015-10-31,2420.0,2022-06-16
2015-11-05,61.0,2016-01-05
2014-11-06,,
2014-04-01,599.0,2015-11-21
2015-10-31,32.0,2015-12-02
2013-05-07,961.0,2015-12-24
2015-11-05,28.0,2015-12-03
2013-08-07,,
2012-09-30,1309.0,2016-05-01
2015-11-01,58.0,2015-12-29
2014-02-14,,
2015-06-01,2624.0,2022-08-07
2015-11-05,147.0,2016-03-31
2015-11-05,,
2015-11-05,58.0,2016-01-02
2013-12-16,,
2013-01-08,1055.0,2015-11-29
2013-04-09,997.0,2016-01-01
2012-10-13,1465.0,2016-10-17
2015-06-10,203.0,2015-12-30
2015-11-12,1098.0,2018-11-14
2012-08-13,3659.0,2022-08-20
2015-11-05,,
2015-11-12,11.0,2015-11-23
2013-12-14,735.0,2015-12-19
2011-12-30,1559.0,2016-04-06
2012-06-03,1458.0,2016-05-31
2014-03-14,658.0,2016-01-01
2014-05-23,580.0,2015-12-24
2014-03-11,660.0,2015-12-31
2015-11-05,,
2015-10-30,47.0,2015-12-16
2015-11-12,,
2013-01-27,1040.0,2015-12-03
2013-08-07,,
2011-12-18,1470.0,2015-12-27
2010-02-22,2108.0,2015-12-01
2013-12-30,736.0,2016-01-05
2013-06-23,884.0,2015-11-24
2015-11-12,51.0,2016-01-02
2015-11-12,24.0,2015-12-06
2013-09-24,1986.0,2019-03-03
2013-06-15,,
2013-11-29,732.0,2015-12-01
2011-12-18,1421.0,2015-11-08
2015-06-11,,
2015-05-31,,
2015-08-14,105.0,2015-11-27
2012-02-11,1381.0,2015-11-23
2015-03-25,256.0,2015-12-06
2015-11-12,51.0,2016-01-02
2013-03-26,993.0,2015-12-14
2015-11-12,262.0,2016-07-31
2015-11-09,8.0,2015-11-17
2015-11-09,51.0,2015-12-30
2015-11-06,10.0,2015-11-16
2011-07-12,,
2014-10-05,,
2015-11-09,,
2015-11-12,81.0,2016-02-01
2015-04-14,,
2015-11-13,,
2012-05-15,,
2015-04-06,,
2015-11-09,58.0,2016-01-06
2015-11-07,911.0,2018-05-06
2014-04-14,,
2013-10-27,804.0,2016-01-09
2015-11-12,81.0,2016-02-01
2015-11-12,78.0,2016-01-29
2012-10-11,1132.0,2015-11-17
2015-05-14,236.0,2016-01-05
2015-11-07,29.0,2015-12-06
2013-12-10,745.0,2015-12-25
2015-11-07,14.0,2015-11-21
2015-11-13,114.0,2016-03-06
2014-04-08,1853.0,2019-05-05
2015-11-12,87.0,2016-02-07
2015-11-09,912.0,2018-05-09
2012-10-17,1131.0,2015-11-22
2011-07-10,1711.0,2016-03-16
2015-10-19,2218.0,2021-11-14
2015-11-18,94.0,2016-02-20
2013-10-29,792.0,2015-12-30
2011-08-08,1973.0,2017-01-01
2013-05-18,924.0,2015-11-28
2015-11-18,,
2015-05-09,,
2013-08-06,1489.0,2017-09-03
2011-04-05,,
2014-10-25,387.0,2015-11-16
2015-11-18,,
2014-11-18,372.0,2015-11-25
2015-11-10,111.0,2016-02-29
2015-10-30,40.0,2015-12-09
2011-08-25,1810.0,2016-08-08
2015-11-14,192.0,2016-05-24
2013-06-13,,
2015-11-10,26.0,2015-12-06
2014-01-19,885.0,2016-06-22
2012-11-03,1143.0,2015-12-21
2012-07-17,1262.0,2015-12-31
2013-07-09,914.0,2016-01-09
2015-11-08,,
2015-02-09,,
2015-11-14,,
2013-12-17,750.0,2016-01-06
2013-11-24,742.0,2015-12-06
2013-04-10,1217.0,2016-08-09
2015-11-10,54.0,2016-01-03
2014-07-09,803.0,2016-09-19
2015-11-10,47.0,2015-12-27
2015-11-10,5.0,2015-11-15
2015-08-31,121.0,2015-12-30
2015-11-14,22.0,2015-12-06
2013-06-19,886.0,2015-11-22
2015-11-19,14.0,2015-12-03
2015-11-09,,
2013-04-04,960.0,2015-11-20
2015-07-30,,
2011-10-03,,
2015-08-02,119.0,2015-11-29
2014-04-03,629.0,2015-12-23
2015-11-19,86.0,2016-02-13
2015-11-10,21.0,2015-12-01
2015-11-10,179.0,2016-05-07
2015-11-15,48.0,2016-01-02
2015-05-22,,
2013-11-23,836.0,2016-03-08
2014-03-30,643.0,2016-01-02
2013-06-05,942.0,2016-01-03
2014-11-30,401.0,2016-01-05
2014-09-10,,
2015-05-31,198.0,2015-12-15
2013-08-18,911.0,2016-02-15
2015-11-15,48.0,2016-01-02
2015-09-11,,
2014-03-11,,
2014-09-25,463.0,2016-01-01
2012-08-27,1217.0,2015-12-27
2015-11-20,275.0,2016-08-21
2013-10-30,,
2015-11-10,11.0,2015-11-21
2014-11-17,567.0,2016-06-06
2014-04-03,599.0,2015-11-23
2015-08-05,234.0,2016-03-26
2014-05-05,898.0,2016-10-19
2013-05-20,930.0,2015-12-06
2015-08-14,144.0,2016-01-05
2010-10-04,1920.0,2016-01-06
2015-08-14,298.0,2016-06-07
2015-11-15,36.0,2015-12-21
2015-11-20,265.0,2016-08-11
2014-10-02,458.0,2016-01-03
2015-10-13,,
2013-08-06,844.0,2015-11-28
2015-11-10,,
2015-11-15,53.0,2016-01-07
2015-11-20,21.0,2015-12-11
2015-01-26,484.0,2016-05-24
2011-09-18,1654.0,2016-03-29
2015-11-15,,
2015-11-10,,
2015-11-10,28.0,2015-12-08
2015-11-20,39.0,2015-12-29
2015-01-19,321.0,2015-12-06
2014-03-29,623.0,2015-12-12
2015-09-03,122.0,2016-01-03
2014-04-21,771.0,2016-05-31
2015-07-27,117.0,2015-11-21
2015-11-20,20.0,2015-12-10
2012-06-25,1483.0,2016-07-17
2014-07-28,526.0,2016-01-05
2015-11-16,,
2013-07-03,1581.0,2017-10-31
2012-01-26,1403.0,2015-11-29
2012-08-29,1202.0,2015-12-14
2015-11-21,,
2015-11-16,46.0,2016-01-01
2014-06-05,542.0,2015-11-29
2011-10-25,,
2014-12-07,380.0,2015-12-22
2010-01-10,4159.0,2021-05-31
2013-12-14,793.0,2016-02-15
2014-06-25,554.0,2015-12-31
2014-05-12,571.0,2015-12-04
2014-09-08,594.0,2016-04-24
2011-07-16,,
2015-11-16,,
2013-07-23,,
2012-08-22,1196.0,2015-12-01
2013-01-02,1088.0,2015-12-26
2011-10-25,1560.0,2016-02-01
2010-09-04,1946.0,2016-01-02
2012-12-20,1123.0,2016-01-17
2015-11-11,,
2014-08-25,,
2014-11-17,489.0,2016-03-20
2013-05-22,914.0,2015-11-22
2015-11-22,,
2014-08-17,,
2015-04-13,,
2014-05-02,591.0,2015-12-14
2015-10-03,61.0,2015-12-03
2015-11-11,109.0,2016-02-28
2015-09-10,234.0,2016-05-01
2015-11-17,251.0,2016-07-25
2013-06-02,,
2015-11-22,37.0,2015-12-29
2014-09-08,446.0,2015-11-28
2015-11-17,41.0,2015-12-28
2015-04-21,232.0,2015-12-09
2015-11-09,53.0,2016-01-01
2011-05-19,1926.0,2016-08-26
2015-09-08,,
2013-05-09,965.0,2015-12-30
2015-11-22,,
2015-11-22,,
2013-02-09,1072.0,2016-01-17
2010-09-29,1895.0,2015-12-07
2015-11-22,,
2013-12-16,745.0,2015-12-31
2014-02-10,,
2015-11-17,21.0,2015-12-08
2011-09-17,1551.0,2015-12-16
2013-01-19,1115.0,2016-02-08
2015-06-29,186.0,2016-01-01
2012-04-29,2074.0,2018-01-02
2015-11-17,285.0,2016-08-28
2014-09-18,628.0,2016-06-07
2010-09-20,1960.0,2016-02-01
2015-10-30,289.0,2016-08-14
2013-06-05,1018.0,2016-03-19
2013-06-01,1171.0,2016-08-15
2013-07-21,895.0,2016-01-02
2015-11-17,50.0,2016-01-06
2015-11-23,41.0,2016-01-03
2014-02-16,685.0,2016-01-02
2014-12-17,,
2015-11-24,39.0,2016-01-02
2012-11-10,1146.0,2015-12-31
2015-11-23,,
2014-08-14,501.0,2015-12-28
2015-06-21,192.0,2015-12-30
2015-11-17,26.0,2015-12-13
2015-11-24,37.0,2015-12-31
2012-10-25,3132.0,2021-05-23
2012-10-12,,
2015-10-10,65.0,2015-12-14
2014-05-01,611.0,2016-01-02
2015-11-17,,
2014-11-29,,
2015-09-25,88.0,2015-12-22
2014-06-11,,
2014-07-22,,
2015-11-23,38.0,2015-12-31
2015-08-29,,
2015-02-03,429.0,2016-04-07
2015-04-14,1133.0,2018-05-21
2015-11-25,,
2014-05-10,605.0,2016-01-05
2014-04-19,,
2015-10-26,47.0,2015-12-12
2015-05-23,,
2014-06-21,553.0,2015-12-26
2015-11-23,,
2013-08-21,1047.0,2016-07-03
2013-01-28,,
2014-04-17,585.0,2015-11-23
2015-11-23,897.0,2018-05-08
2015-07-20,154.0,2015-12-21
2015-11-18,14.0,2015-12-02
2015-08-10,110.0,2015-11-28
2015-09-26,95.0,2015-12-30
2011-04-13,1922.0,2016-07-17
2015-11-23,29.0,2015-12-22
2015-11-23,,
2013-07-09,890.0,2015-12-16
2012-08-13,1340.0,2016-04-14
2013-02-09,1051.0,2015-12-27
2015-11-23,1346.0,2019-07-31
2015-04-29,247.0,2016-01-01
2015-11-26,,
2011-07-01,1614.0,2015-12-01
2015-11-26,13.0,2015-12-09
2010-01-08,2424.0,2016-08-28
2013-07-16,,
2013-04-22,953.0,2015-12-01
2015-05-09,,
2011-08-30,1580.0,2015-12-27
2015-03-30,,
2015-06-08,409.0,2016-07-21
2014-10-27,,
2015-11-23,44.0,2016-01-06
2015-11-30,,
2015-11-23,37.0,2015-12-30
2015-11-27,9.0,2015-12-06
2015-10-30,38.0,2015-12-07
2013-03-15,1642.0,2017-09-12
2013-09-07,982.0,2016-05-16
2015-06-03,182.0,2015-12-02
2011-05-25,,
2011-11-09,1606.0,2016-04-02
2012-10-12,1170.0,2015-12-26
2015-11-27,109.0,2016-03-15
2012-12-13,1174.0,2016-03-01
2015-06-26,189.0,2016-01-01
2013-08-31,900.0,2016-02-17
2010-07-13,2180.0,2016-07-01
2013-05-21,956.0,2016-01-02
2015-11-27,37.0,2016-01-03
2014-07-01,545.0,2015-12-28
2015-11-27,,
2014-07-27,,
2015-11-27,39.0,2016-01-05
2015-11-20,256.0,2016-08-02
2012-11-21,,
2014-07-09,,
2014-12-24,354.0,2015-12-13
2015-05-25,,
2015-11-27,11.0,2015-12-08
2014-04-27,729.0,2016-04-25
2015-08-09,215.0,2016-03-11
2015-12-01,,
2014-06-25,921.0,2017-01-01
2015-02-22,,
2015-11-28,,
2013-03-15,,
2011-02-13,1769.0,2015-12-18
2015-06-24,,
2015-12-01,,
2014-07-24,511.0,2015-12-17
2015-11-28,24.0,2015-12-22
2012-11-03,,
2014-04-07,,
2012-05-09,1699.0,2017-01-02
2015-12-01,,
2015-11-28,6.0,2015-12-04
2012-08-16,1237.0,2016-01-05
2012-10-30,2379.0,2019-05-06
2015-11-18,260.0,2016-08-04
2015-11-28,33.0,2015-12-31
2013-12-07,,
2014-11-28,714.0,2016-11-11
2014-03-10,,
2015-12-01,96.0,2016-03-06
2015-06-02,230.0,2016-01-18
2013-10-18,,
2015-08-30,143.0,2016-01-20
2015-11-27,7.0,2015-12-04
2015-12-04,26.0,2015-12-30
2015-12-01,28.0,2015-12-29
2012-05-09,1626.0,2016-10-21
2011-05-27,1682.0,2016-01-03
2015-12-04,29.0,2016-01-02
2015-02-08,,
2015-11-28,41.0,2016-01-08
2011-02-15,1806.0,2016-01-26
2013-01-19,1079.0,2016-01-03
2015-01-02,408.0,2016-02-14
2013-01-19,1184.0,2016-04-17
2015-09-04,124.0,2016-01-06
2015-11-28,,
2015-11-28,32.0,2015-12-30
2015-11-28,62.0,2016-01-29
2012-05-01,1551.0,2016-07-30
2015-12-04,,
2015-09-03,93.0,2015-12-05
2012-11-17,1140.0,2016-01-01
2012-10-10,1906.0,2017-12-29
2012-01-09,,
2011-12-22,1488.0,2016-01-18
2012-09-23,1182.0,2015-12-19
2013-08-13,871.0,2016-01-01
2015-12-04,30.0,2016-01-03
2014-08-14,496.0,2015-12-23
2015-12-04,16.0,2015-12-20
2015-11-28,15.0,2015-12-13
2011-10-27,1528.0,2016-01-02
2012-04-15,1718.0,2016-12-28
2015-11-25,47.0,2016-01-11
2014-10-05,1456.0,2018-09-30
2015-05-14,220.0,2015-12-20
2015-09-05,136.0,2016-01-19
2012-05-04,1927.0,2017-08-13
2015-06-12,204.0,2016-01-02
2013-10-06,813.0,2015-12-28
2014-07-24,,
2014-10-12,451.0,2016-01-06
2014-01-21,714.0,2016-01-05
2012-01-09,,
2015-11-25,,
2015-12-01,18.0,2015-12-19
2012-12-16,1323.0,2016-07-31
2013-08-05,1118.0,2016-08-27
2012-09-27,,
2014-04-27,593.0,2015-12-11
2015-12-05,,
2015-11-29,578.0,2017-06-29
2015-12-05,151.0,2016-05-04
2015-07-30,275.0,2016-04-30
2015-11-29,,
2015-11-29,,
2015-06-02,194.0,2015-12-13
2015-12-01,127.0,2016-04-06
2011-08-23,2159.0,2017-07-21
2013-06-02,924.0,2015-12-13
2013-06-20,929.0,2016-01-05
2013-08-19,1938.0,2018-12-09
2014-11-18,,
2014-03-15,659.0,2016-01-03
2015-07-07,153.0,2015-12-07
2015-12-05,29.0,2016-01-03
2013-10-27,800.0,2016-01-05
2013-12-01,,
2015-11-29,134.0,2016-04-11
2012-11-11,1137.0,2015-12-23
2015-10-11,756.0,2017-11-05
2010-08-16,2208.0,2016-09-01
2014-08-12,,
2014-12-24,360.0,2015-12-19
2015-12-02,31.0,2016-01-02
2015-11-29,,
2014-11-26,401.0,2016-01-01
2013-04-26,,
2013-09-25,,
2015-12-02,28.0,2015-12-30
2015-11-29,28.0,2015-12-27
2011-07-14,1644.0,2016-01-13
2015-09-08,126.0,2016-01-12
2015-12-02,4.0,2015-12-06
2015-01-07,,
2011-09-29,1565.0,2016-01-11
2015-11-19,,
2013-01-01,,
2015-10-30,,
2015-11-30,,
2015-12-02,58.0,2016-01-29
2015-05-21,,
2015-12-02,30.0,2016-01-01
2015-07-10,617.0,2017-03-18
2013-04-13,,
2015-12-02,73.0,2016-02-13
2010-03-20,3074.0,2018-08-19
2015-04-20,255.0,2015-12-31
2012-09-08,1248.0,2016-02-08
2012-08-13,,
2015-04-20,1513.0,2019-06-11
2015-11-17,259.0,2016-08-02
2014-01-14,2187.0,2020-01-10
2015-12-02,,
2015-09-27,,
2014-04-07,679.0,2016-02-15
2015-12-06,22.0,2015-12-28
2012-10-09,,
2015-12-06,105.0,2016-03-20
2012-11-21,,
2010-11-18,1844.0,2015-12-06
2015-12-06,22.0,2015-12-28
2015-12-02,158.0,2016-05-08
2015-12-06,21.0,2015-12-27
2015-03-12,293.0,2015-12-30
2015-07-12,177.0,2016-01-05
2014-06-05,764.0,2016-07-08
2013-10-19,834.0,2016-01-31
2015-12-06,,
2010-11-19,1870.0,2016-01-02
2015-07-07,182.0,2016-01-05
2014-08-15,,
2012-11-08,,
2015-08-05,,
2012-06-08,1303.0,2016-01-02
2015-12-02,48.0,2016-01-19
2015-05-27,221.0,2016-01-03
2014-08-19,496.0,2015-12-28
2014-09-13,475.0,2016-01-01
2015-05-03,385.0,2016-05-22
2013-07-16,903.0,2016-01-05
2012-10-04,1189.0,2016-01-06
2013-02-17,1026.0,2015-12-10
2015-12-07,,
2012-10-04,1185.0,2016-01-02
2015-12-07,26.0,2016-01-02
2012-11-08,1150.0,2016-01-02
2015-08-24,129.0,2015-12-31
2013-06-21,926.0,2016-01-03
2015-05-21,269.0,2016-02-14
2015-12-03,29.0,2016-01-01
2010-12-09,1851.0,2016-01-03
2013-02-27,,
2009-05-21,2398.0,2015-12-14
2015-03-10,277.0,2015-12-12
2015-12-05,,
2015-11-17,215.0,2016-06-19
2015-12-03,,
2015-12-07,20.0,2015-12-27
2015-12-03,,
2011-07-06,1650.0,2016-01-11
2015-12-03,0.0,2015-12-03
2013-07-10,909.0,2016-01-05
2014-04-27,1102.0,2017-05-03
2015-06-26,,
2013-08-08,1041.0,2016-06-14
2015-03-24,,
2013-07-20,,
2014-04-23,674.0,2016-02-26
2015-12-05,933.0,2018-06-25
2013-11-29,765.0,2016-01-03
2015-12-07,7.0,2015-12-14
2015-12-03,19.0,2015-12-22
2015-12-03,,
2013-02-25,,
2015-03-30,1032.0,2018-01-25
2012-09-03,1390.0,2016-06-24
2015-12-08,,
2013-03-21,1074.0,2016-02-28
2015-05-06,240.0,2016-01-01
2013-02-25,,
2013-07-10,,
2015-12-03,,
2015-12-07,,
2015-07-26,244.0,2016-03-26
2015-12-07,23.0,2015-12-30
2015-03-30,296.0,2016-01-20
2013-07-16,925.0,2016-01-27
2013-09-19,,
2015-12-03,,
2014-06-17,670.0,2016-04-17
2013-08-19,,
2015-06-11,183.0,2015-12-11
2014-06-22,,
2012-02-16,1422.0,2016-01-08
2010-09-02,1944.0,2015-12-29
2014-07-26,,
2015-05-16,297.0,2016-03-08
2012-07-21,1255.0,2015-12-28
2015-04-19,254.0,2015-12-29
2013-04-07,,
2011-12-05,1803.0,2016-11-11
2015-12-07,,
2015-12-07,6.0,2015-12-13
2014-08-21,490.0,2015-12-24
2013-12-05,879.0,2016-05-02
2015-08-14,321.0,2016-06-30
2015-12-09,10.0,2015-12-19
2015-04-19,237.0,2015-12-12
2013-05-22,1058.0,2016-04-14
2015-12-03,6.0,2015-12-09
2014-01-16,,
2015-12-03,,
2014-11-13,,
2015-11-08,55.0,2016-01-02
2014-04-15,1139.0,2017-05-28
2015-09-13,155.0,2016-02-15
2015-11-15,,
2013-03-06,1166.0,2016-05-15
2015-12-11,,
2013-12-22,736.0,2015-12-28
2014-08-31,,
2015-12-04,604.0,2017-07-30
2012-12-01,1375.0,2016-09-06
2015-01-20,,
2015-12-05,29.0,2016-01-03
2015-12-07,74.0,2016-02-19
2013-01-08,,
2014-08-12,,
2015-08-06,,
2014-08-05,,
2015-12-11,98.0,2016-03-18
2015-10-06,91.0,2016-01-05
2013-11-13,779.0,2016-01-01
2014-03-12,1078.0,2017-02-22
2013-12-26,730.0,2015-12-26
2011-06-04,1670.0,2015-12-30
2015-06-04,797.0,2017-08-09
2015-12-16,,
2014-04-21,620.0,2016-01-01
2013-08-29,946.0,2016-04-01
2015-10-14,626.0,2017-07-01
2012-10-15,1442.0,2016-09-26
2013-05-25,951.0,2016-01-01
2011-11-11,1513.0,2016-01-02
2012-03-11,,
2015-12-09,93.0,2016-03-11
2014-07-27,651.0,2016-05-08
2015-06-09,207.0,2016-01-02
2015-12-03,,
2013-04-24,999.0,2016-01-18
2015-12-09,21.0,2015-12-30
2013-12-02,762.0,2016-01-03
2015-12-16,183.0,2016-06-16
2014-09-03,,
2013-11-29,,
2012-08-24,1382.0,2016-06-06
2015-12-16,126.0,2016-04-20
2012-07-04,1266.0,2015-12-22
2015-07-29,152.0,2015-12-28
2012-09-21,1195.0,2015-12-30
2014-02-04,693.0,2015-12-29
2015-12-09,200.0,2016-06-26
2015-04-19,244.0,2015-12-19
2015-12-09,25.0,2016-01-03
2013-07-27,894.0,2016-01-07
2013-07-13,883.0,2015-12-13
2015-12-13,15.0,2015-12-28
2015-10-27,66.0,2016-01-01
2014-08-30,478.0,2015-12-21
2013-05-01,,
2014-05-11,,
2015-12-13,,
2015-03-17,,
2012-01-25,1423.0,2015-12-18
2015-02-25,376.0,2016-03-07
2013-07-20,,
2015-12-13,,
2015-12-16,181.0,2016-06-14
2015-05-10,343.0,2016-04-17
2015-05-21,250.0,2016-01-26
2015-12-10,669.0,2017-10-09
2015-03-02,,
2015-12-16,18.0,2016-01-03
2015-10-19,,
2014-11-18,,
2015-12-13,204.0,2016-07-04
2015-10-27,72.0,2016-01-07
2014-12-17,,
2015-12-10,94.0,2016-03-13
2015-12-10,,
2014-10-25,,
2013-01-24,,
2015-12-10,113.0,2016-04-01
2013-06-13,,
2015-12-16,,
2015-12-04,30.0,2016-01-03
2013-05-27,951.0,2016-01-03
2014-11-27,454.0,2016-02-24
2015-12-10,150.0,2016-05-08
2015-06-17,,
2013-09-02,846.0,2015-12-27
2014-02-25,,
2015-12-16,17.0,2016-01-02
2013-04-13,994.0,2016-01-02
2015-10-27,688.0,2017-09-14
2015-12-10,,
2015-11-26,30.0,2015-12-26
2013-04-13,994.0,2016-01-02
2012-08-28,,
2015-03-15,288.0,2015-12-28
2013-12-24,,
2015-10-27,64.0,2015-12-30
2014-07-28,523.0,2016-01-02
2015-05-22,,
2013-04-13,,
2015-10-27,369.0,2016-10-30
2014-06-01,,
2015-08-12,,
2012-07-16,1276.0,2016-01-13
2015-12-10,20.0,2015-12-30
2015-10-18,69.0,2015-12-26
2013-06-10,,
2015-08-13,339.0,2016-07-17
2015-12-10,67.0,2016-02-15
2015-12-14,,
2015-10-05,89.0,2016-01-02
2014-10-11,451.0,2016-01-05
2013-09-30,824.0,2016-01-02
2013-07-25,1462.0,2017-07-26
2014-08-12,553.0,2016-02-16
2013-01-28,1220.0,2016-06-01
2014-02-21,677.0,2015-12-30
2015-04-14,244.0,2015-12-14
2012-06-18,,
2015-12-10,,
2012-07-18,,
2014-03-05,669.0,2016-01-03
2013-07-09,,
2015-12-10,,
2013-07-15,897.0,2015-12-29
2015-11-21,171.0,2016-05-10
2015-12-14,23.0,2016-01-06
2013-12-21,737.0,2015-12-28
2015-03-01,310.0,2016-01-05
2015-10-20,215.0,2016-05-22
2011-12-14,1473.0,2015-12-26
2014-07-02,537.0,2015-12-21
2012-02-07,1426.0,2016-01-03
2015-12-07,249.0,2016-08-12
2009-12-08,2220.0,2016-01-06
2015-12-14,,
2015-06-05,,
2015-12-07,83.0,2016-02-28
2015-12-07,70.0,2016-02-15
2015-12-14,19.0,2016-01-02
2014-06-01,579.0,2016-01-01
2015-10-06,,
2015-10-27,61.0,2015-12-27
2013-10-03,861.0,2016-02-11
2015-12-08,74.0,2016-02-20
2015-11-20,46.0,2016-01-05
2015-05-30,218.0,2016-01-03
2015-12-14,22.0,2016-01-05
2014-07-01,831.0,2016-10-09
2015-10-27,63.0,2015-12-29
2015-12-14,,
2014-11-17,432.0,2016-01-23
2013-04-04,1682.0,2017-11-11
2014-07-01,,
2013-02-17,1050.0,2016-01-03
2013-08-21,933.0,2016-03-11
2015-01-08,404.0,2016-02-16
2015-05-09,,
2010-11-07,,
2014-06-16,568.0,2016-01-05
2015-06-20,219.0,2016-01-25
2015-12-14,,
2015-12-20,,
2014-04-28,,
2012-07-09,1273.0,2016-01-03
2015-12-17,,
2015-12-14,18.0,2016-01-01
2015-10-27,63.0,2015-12-29
2015-03-28,,
2014-11-01,427.0,2016-01-02
2010-10-25,,
2015-02-02,,
2015-08-31,263.0,2016-05-20
2015-10-27,68.0,2016-01-03
2013-09-19,,
2013-02-13,1196.0,2016-05-24
2014-10-07,682.0,2016-08-19
2015-12-20,13.0,2016-01-02
2015-12-17,30.0,2016-01-16
2014-02-14,698.0,2016-01-13
2015-12-07,382.0,2016-12-23
2013-09-25,,
2015-05-16,,
2014-08-18,679.0,2016-06-27
2015-12-20,13.0,2016-01-02
2013-08-29,859.0,2016-01-05
2015-12-15,181.0,2016-06-13
2014-07-26,1714.0,2019-04-05
2015-12-15,21.0,2016-01-05
2014-01-06,,
2015-10-24,174.0,2016-04-15
2015-12-07,298.0,2016-09-30
2015-03-24,,
2015-06-27,,
2015-12-15,,
2015-12-07,,
2015-12-18,16.0,2016-01-03
2015-10-26,,
2015-06-27,,
2015-12-18,,
2014-06-11,571.0,2016-01-03
2015-12-21,,
2015-12-07,315.0,2016-10-17
2014-07-24,735.0,2016-07-28
2014-02-12,,
2015-12-18,16.0,2016-01-03
2015-12-07,268.0,2016-08-31
2014-06-09,575.0,2016-01-05
2012-05-22,1801.0,2017-04-27
2015-12-21,5.0,2015-12-26
2015-05-12,,
2015-12-07,894.0,2018-05-19
2015-05-27,218.0,2015-12-31
2015-12-07,243.0,2016-08-06
2015-05-27,,
2014-02-26,786.0,2016-04-22
2015-12-21,90.0,2016-03-20
2015-12-15,,
2014-05-05,,
2015-12-07,366.0,2016-12-07
2015-12-16,,
2015-07-27,,
2015-12-07,252.0,2016-08-15
2015-12-18,95.0,2016-03-22
2014-07-15,767.0,2016-08-20
2014-12-09,487.0,2016-04-09
2015-12-07,287.0,2016-09-19
2013-05-27,1157.0,2016-07-27
2011-05-08,1700.0,2016-01-02
2014-05-04,606.0,2015-12-31
2015-08-04,155.0,2016-01-06
2013-04-22,,
2015-12-18,10.0,2015-12-28
2015-02-18,,
2015-09-14,103.0,2015-12-26
2015-12-18,,
2013-06-05,,
2013-02-03,1064.0,2016-01-03
2015-12-15,,
2011-05-07,,
2015-12-16,371.0,2016-12-21
2015-12-22,,
2013-12-06,1258.0,2017-05-17
2015-12-18,141.0,2016-05-07
2013-02-20,1194.0,2016-05-29
2015-12-18,,
2015-12-22,29.0,2016-01-20
2015-12-29,,
2014-11-15,508.0,2016-04-06
2015-12-19,89.0,2016-03-17
2013-04-11,,
2014-10-17,1346.0,2018-06-24
2015-07-12,174.0,2016-01-02
2015-04-22,256.0,2016-01-03
2015-12-29,,
2010-11-17,2144.0,2016-09-30
2015-10-27,67.0,2016-01-02
2012-05-11,1691.0,2016-12-27
2014-04-01,641.0,2016-01-02
2013-07-07,907.0,2015-12-31
2014-09-09,784.0,2016-11-01
2015-12-23,9.0,2016-01-01
2015-03-05,439.0,2016-05-17
2015-12-19,7.0,2015-12-26
2014-04-09,655.0,2016-01-24
2015-12-19,750.0,2018-01-07
2014-02-22,882.0,2016-07-23
2011-10-07,1548.0,2016-01-02
2013-10-11,813.0,2016-01-02
2014-08-12,685.0,2016-06-27
2015-10-27,100.0,2016-02-04
2011-01-10,1828.0,2016-01-12
2015-12-29,91.0,2016-03-29
2015-12-23,152.0,2016-05-23
2015-12-24,2305.0,2022-04-16
2014-12-13,632.0,2016-09-05
2015-12-29,121.0,2016-04-28
2013-03-16,,
2013-12-19,1261.0,2017-06-02
2016-01-07,51.0,2016-02-27
2014-01-17,,
2008-09-07,2675.0,2016-01-04
2015-02-08,358.0,2016-02-01
2012-07-19,,
2014-12-24,379.0,2016-01-07
2016-01-08,9.0,2016-01-17
2012-07-18,,
2012-03-13,2485.0,2019-01-01
2014-12-05,513.0,2016-05-01
2015-08-15,150.0,2016-01-12
2013-09-17,,
2012-08-25,1300.0,2016-03-17
2013-04-30,,
2012-12-16,1176.0,2016-03-06
2015-05-07,803.0,2017-07-18
2016-01-09,33.0,2016-02-11
2015-07-26,167.0,2016-01-09
2015-10-27,63.0,2015-12-29
2015-10-27,190.0,2016-05-04
2015-04-05,273.0,2016-01-03
2013-06-03,1083.0,2016-05-21
2013-10-12,1079.0,2016-09-25
2015-08-02,184.0,2016-02-02
2014-11-24,659.0,2016-09-13
2008-09-07,2823.0,2016-05-31
2015-12-24,33.0,2016-01-26
2015-12-24,,
2014-04-19,622.0,2016-01-01
2015-12-24,150.0,2016-05-22
2008-09-07,2831.0,2016-06-08
2013-09-29,3004.0,2021-12-20
2014-11-29,399.0,2016-01-02
2013-07-02,1009.0,2016-04-06
2013-08-29,1009.0,2016-06-03
2014-06-11,645.0,2016-03-17
2013-02-17,1049.0,2016-01-02
2014-06-11,611.0,2016-02-12
2015-12-30,5.0,2016-01-04
2014-09-17,481.0,2016-01-11
2014-12-14,,
2014-10-14,445.0,2016-01-02
2015-12-29,4.0,2016-01-02
2011-05-14,1783.0,2016-03-31
2015-08-08,163.0,2016-01-18
2013-02-20,1141.0,2016-04-06
2015-08-05,153.0,2016-01-05
2015-12-03,,
2015-08-23,154.0,2016-01-24
2014-06-14,597.0,2016-02-01
2013-03-24,1198.0,2016-07-04
2016-01-10,,
2014-04-27,833.0,2016-08-07
2013-12-27,755.0,2016-01-21
2015-12-31,112.0,2016-04-21
2014-09-06,486.0,2016-01-05
