host_since,diff_host_since,first_review
2010-11-03,322.0,2011-09-21
2010-12-28,512.0,2012-05-23
2010-05-01,98.0,2010-08-07
2010-03-31,885.0,2012-09-01
2010-06-12,23.0,2010-07-05
2011-05-23,41.0,2011-07-03
2010-05-20,374.0,2011-05-29
2010-11-26,1381.0,2014-09-07
2010-12-29,90.0,2011-03-29
2010-07-04,92.0,2010-10-04
2011-01-01,108.0,2011-04-19
2010-01-04,,
2011-06-18,44.0,2011-08-01
2010-07-05,37.0,2010-08-11
2011-06-18,439.0,2012-08-30
2010-07-06,99.0,2010-10-13
2011-01-10,260.0,2011-09-27
2011-01-11,1344.0,2014-09-16
2010-07-13,727.0,2012-07-09
2011-06-19,309.0,2012-04-23
2011-06-19,,
2010-07-16,17.0,2010-08-02
2011-06-20,,
2010-11-08,116.0,2011-03-04
2010-07-17,45.0,2010-08-31
2011-01-18,469.0,2012-05-01
2011-06-21,58.0,2011-08-18
2010-04-18,149.0,2010-09-14
2011-06-21,35.0,2011-07-26
2010-07-18,36.0,2010-08-23
2010-07-29,10.0,2010-08-08
2011-06-20,82.0,2011-09-10
2011-06-22,,
2011-01-25,849.0,2013-05-23
2009-03-26,536.0,2010-09-13
2010-07-30,267.0,2011-04-23
2011-01-26,43.0,2011-03-10
2011-06-22,96.0,2011-09-26
2010-08-01,2600.0,2017-09-13
2011-06-24,22.0,2011-07-16
2011-01-27,445.0,2012-04-16
2010-07-26,68.0,2010-10-02
2011-01-27,59.0,2011-03-27
2010-08-11,44.0,2010-09-24
2011-01-30,2739.0,2018-07-31
2011-06-26,229.0,2012-02-10
2010-08-15,2949.0,2018-09-11
2011-02-01,133.0,2011-06-14
2010-01-04,254.0,2010-09-15
2011-01-09,711.0,2012-12-20
2011-06-29,36.0,2011-08-04
2011-06-29,20.0,2011-07-19
2011-07-11,,
2009-11-14,714.0,2011-10-29
2009-11-14,696.0,2011-10-11
2010-12-31,257.0,2011-09-14
2011-07-12,49.0,2011-08-30
2010-01-04,1581.0,2014-05-04
2011-02-14,34.0,2011-03-20
2011-06-29,2314.0,2017-10-29
2009-12-07,640.0,2011-09-08
2011-07-04,1525.0,2015-09-06
2011-07-14,30.0,2011-08-13
2011-07-04,415.0,2012-08-22
2011-05-26,89.0,2011-08-23
2010-10-18,238.0,2011-06-13
2011-07-16,16.0,2011-08-01
2011-02-16,69.0,2011-04-26
2011-02-16,40.0,2011-03-28
2011-02-20,8.0,2011-02-28
2011-07-07,23.0,2011-07-30
2011-07-18,164.0,2011-12-29
2011-07-07,777.0,2013-08-22
2011-07-19,426.0,2012-09-17
2011-02-28,120.0,2011-06-28
2011-07-21,2311.0,2017-11-17
2011-07-08,57.0,2011-09-03
2011-07-21,56.0,2011-09-15
2011-06-19,74.0,2011-09-01
2011-10-10,343.0,2012-09-17
2011-10-12,,
2009-06-14,825.0,2011-09-17
2010-12-10,320.0,2011-10-26
2011-10-07,452.0,2013-01-01
2011-07-11,18.0,2011-07-29
2011-07-11,9.0,2011-07-20
2009-09-17,740.0,2011-09-27
2011-09-13,115.0,2012-01-06
2010-01-14,992.0,2012-10-02
2011-12-04,1424.0,2015-10-28
2011-10-13,5.0,2011-10-18
2011-10-14,445.0,2013-01-01
2011-07-26,40.0,2011-09-04
2011-10-01,44.0,2011-11-14
2011-03-01,287.0,2011-12-13
2009-09-07,847.0,2012-01-02
2011-12-05,15.0,2011-12-20
2011-08-01,30.0,2011-08-31
2011-12-06,1461.0,2015-12-06
2011-08-02,117.0,2011-11-27
2010-01-04,2059.0,2015-08-25
2011-12-10,27.0,2012-01-06
2011-12-10,24.0,2012-01-03
2011-10-17,297.0,2012-08-09
2010-07-24,590.0,2012-03-05
2011-10-18,1707.0,2016-06-20
2011-10-18,786.0,2013-12-12
2011-08-28,127.0,2012-01-02
2011-08-02,992.0,2014-04-20
2011-12-11,123.0,2012-04-12
2011-04-06,164.0,2011-09-17
2011-12-12,33.0,2012-01-14
2011-08-13,144.0,2012-01-04
2011-06-29,157.0,2011-12-03
2011-10-19,297.0,2012-08-11
2011-08-03,30.0,2011-09-02
2011-08-03,26.0,2011-08-29
2011-10-19,47.0,2011-12-05
2010-04-13,900.0,2012-09-29
2011-08-04,33.0,2011-09-06
2011-01-14,711.0,2012-12-25
2011-10-19,,
2011-07-26,247.0,2012-03-29
2011-12-14,11.0,2011-12-25
2011-08-05,150.0,2012-01-02
2011-07-13,785.0,2013-09-05
2010-07-17,1630.0,2015-01-02
2011-10-20,32.0,2011-11-21
2010-08-07,1451.0,2014-07-28
2011-08-08,14.0,2011-08-22
2011-03-01,964.0,2013-10-20
2011-01-25,461.0,2012-04-30
2011-08-10,1075.0,2014-07-20
2011-08-25,,
2011-03-01,806.0,2013-05-15
2011-03-01,378.0,2012-03-13
2011-10-24,726.0,2013-10-19
2011-08-10,326.0,2012-07-01
2011-03-01,251.0,2011-11-07
2011-03-01,444.0,2012-05-18
2011-05-22,110.0,2011-09-09
2011-03-01,400.0,2012-04-04
2011-08-13,24.0,2011-09-06
2011-03-01,294.0,2011-12-20
2011-03-01,630.0,2012-11-20
2009-10-13,876.0,2012-03-07
2010-11-16,304.0,2011-09-16
2011-03-01,441.0,2012-05-15
2011-03-01,258.0,2011-11-14
2011-08-13,4.0,2011-08-17
2011-03-01,399.0,2012-04-03
2011-03-01,532.0,2012-08-14
2011-08-14,1253.0,2015-01-18
2011-03-01,426.0,2012-04-30
2011-08-15,12.0,2011-08-27
2011-03-01,264.0,2011-11-20
2011-03-01,436.0,2012-05-10
2011-11-09,866.0,2014-03-24
2011-08-07,,
2011-03-01,1329.0,2014-10-20
2011-03-01,559.0,2012-09-10
2011-05-08,132.0,2011-09-17
2010-06-02,4095.0,2021-08-18
2011-05-08,697.0,2013-04-04
2011-12-22,632.0,2013-09-14
2011-08-17,2241.0,2017-10-05
2011-12-23,112.0,2012-04-13
2011-03-01,407.0,2012-04-11
2011-08-18,938.0,2014-03-13
2011-10-26,803.0,2014-01-06
2011-08-03,59.0,2011-10-01
2011-12-27,250.0,2012-09-02
2010-09-16,,
2011-08-21,10.0,2011-08-31
2011-09-28,270.0,2012-06-24
2011-10-15,1832.0,2016-10-20
2011-10-17,1696.0,2016-06-08
2011-10-27,18.0,2011-11-14
2009-11-03,672.0,2011-09-06
2011-04-13,241.0,2011-12-10
2012-01-02,115.0,2012-04-26
2011-08-23,15.0,2011-09-07
2012-01-02,92.0,2012-04-03
2012-01-02,275.0,2012-10-03
2011-11-24,2970.0,2020-01-11
2010-12-10,338.0,2011-11-13
2011-08-23,233.0,2012-04-12
2011-03-11,299.0,2012-01-04
2012-01-02,150.0,2012-05-31
2011-08-24,2216.0,2017-09-17
2011-11-01,390.0,2012-11-25
2011-08-24,96.0,2011-11-28
2011-11-01,1290.0,2015-05-14
2012-01-05,158.0,2012-06-11
2012-01-02,98.0,2012-04-09
2011-08-25,13.0,2011-09-07
2012-01-07,133.0,2012-05-19
2011-11-01,345.0,2012-10-11
2009-08-19,866.0,2012-01-02
2011-08-26,97.0,2011-12-01
2011-08-28,27.0,2011-09-24
2011-06-26,390.0,2012-07-20
2012-01-12,49.0,2012-03-01
2011-08-28,200.0,2012-03-15
2011-06-05,1610.0,2015-11-01
2012-01-12,,
2010-06-10,616.0,2012-02-16
2011-11-01,26.0,2011-11-27
2011-09-01,57.0,2011-10-28
2011-09-04,1772.0,2016-07-11
2011-11-03,32.0,2011-12-05
2012-01-17,37.0,2012-02-23
2009-05-17,864.0,2011-09-28
2012-01-20,265.0,2012-10-11
2011-11-04,30.0,2011-12-04
2011-11-05,990.0,2014-07-22
2011-09-08,1239.0,2015-01-29
2011-11-01,793.0,2014-01-02
2011-03-17,235.0,2011-11-07
2011-11-06,198.0,2012-05-22
2012-01-21,109.0,2012-05-09
2011-09-26,3696.0,2021-11-08
2011-09-10,280.0,2012-06-16
2012-01-23,64.0,2012-03-27
2011-04-25,2339.0,2017-09-19
2011-05-19,209.0,2011-12-14
2011-08-03,44.0,2011-09-16
2011-11-03,1742.0,2016-08-10
2011-09-12,280.0,2012-06-18
2012-01-23,206.0,2012-08-16
2011-11-07,57.0,2012-01-03
2011-09-13,41.0,2011-10-24
2011-11-07,2638.0,2019-01-27
2011-09-14,77.0,2011-11-30
2011-11-07,41.0,2011-12-18
2012-01-23,128.0,2012-05-30
2011-09-15,8.0,2011-09-23
2012-01-24,61.0,2012-03-25
2012-01-25,54.0,2012-03-19
2011-11-08,57.0,2012-01-04
2011-09-15,31.0,2011-10-16
2009-06-11,2662.0,2016-09-24
2011-11-09,41.0,2011-12-20
2012-01-27,143.0,2012-06-18
2011-09-14,29.0,2011-10-13
2010-03-14,741.0,2012-03-24
2011-11-10,53.0,2012-01-02
2011-04-19,450.0,2012-07-12
2011-11-13,1450.0,2015-11-02
2011-09-18,8.0,2011-09-26
2011-06-06,910.0,2013-12-02
2011-07-13,81.0,2011-10-02
2012-01-30,607.0,2013-09-28
2010-07-12,1869.0,2015-08-24
2011-09-19,3040.0,2020-01-15
2011-11-07,687.0,2013-09-24
2011-07-29,234.0,2012-03-19
2011-08-12,45.0,2011-09-26
2012-01-31,21.0,2012-02-21
2011-11-15,52.0,2012-01-06
2010-08-22,399.0,2011-09-25
2011-09-21,25.0,2011-10-16
2011-11-15,407.0,2012-12-26
2012-01-31,111.0,2012-05-21
2011-09-22,1836.0,2016-10-01
2012-02-04,1035.0,2014-12-05
2010-11-19,313.0,2011-09-28
2011-11-16,48.0,2012-01-03
2009-07-27,805.0,2011-10-10
2011-09-27,19.0,2011-10-16
2011-11-16,118.0,2012-03-13
2009-11-06,882.0,2012-04-06
2010-06-19,500.0,2011-11-01
2011-04-30,883.0,2013-09-29
2011-08-31,686.0,2013-07-17
2011-09-30,208.0,2012-04-25
2011-11-03,60.0,2012-01-02
2009-08-02,940.0,2012-02-28
2011-10-01,15.0,2011-10-16
2011-06-28,244.0,2012-02-27
2011-11-12,275.0,2012-08-13
2011-10-01,95.0,2012-01-04
2011-11-17,20.0,2011-12-07
2011-11-09,110.0,2012-02-27
2012-02-12,74.0,2012-04-26
2012-02-10,112.0,2012-06-01
2010-02-20,619.0,2011-11-01
2011-11-19,1311.0,2015-06-22
2011-10-02,15.0,2011-10-17
2011-09-22,75.0,2011-12-06
2013-12-13,-571.0,2012-05-21
2012-02-10,44.0,2012-03-25
2011-10-02,8.0,2011-10-10
2011-10-03,73.0,2011-12-15
2012-02-13,60.0,2012-04-13
2011-11-22,953.0,2014-07-02
2011-11-22,815.0,2014-02-14
2011-10-06,50.0,2011-11-25
2011-11-23,1012.0,2014-08-31
2012-02-19,262.0,2012-11-07
2011-10-06,1609.0,2016-03-02
2011-03-02,434.0,2012-05-09
2011-06-24,237.0,2012-02-16
2011-06-22,488.0,2012-10-22
2011-06-22,283.0,2012-03-31
2012-02-21,70.0,2012-05-01
2011-11-23,174.0,2012-05-15
2012-03-15,33.0,2012-04-17
2011-11-17,148.0,2012-04-13
2012-03-15,1517.0,2016-05-10
2010-12-09,474.0,2012-03-27
2012-03-16,211.0,2012-10-13
2016-07-21,-1522.0,2012-05-21
2012-01-18,,
2010-05-24,584.0,2011-12-29
2011-11-27,972.0,2014-07-26
2012-03-16,38.0,2012-04-23
2011-08-10,146.0,2012-01-03
2012-02-29,217.0,2012-10-03
2012-03-16,40.0,2012-04-25
2011-11-28,86.0,2012-02-22
2011-11-28,23.0,2011-12-21
2012-03-17,2378.0,2018-09-20
2011-01-30,2239.0,2017-03-18
2011-11-18,117.0,2012-03-14
2012-03-02,1477.0,2016-03-18
2012-02-09,1685.0,2016-09-20
2012-03-18,115.0,2012-07-11
2012-03-07,33.0,2012-04-09
2012-03-11,29.0,2012-04-09
2012-05-08,20.0,2012-05-28
2012-05-09,3744.0,2022-08-09
2010-12-07,2340.0,2017-05-04
2012-05-09,773.0,2014-06-21
2011-10-10,270.0,2012-07-06
2011-03-12,2008.0,2016-09-09
2012-01-25,243.0,2012-09-24
2011-10-20,1686.0,2016-06-01
2012-05-02,1152.0,2015-06-28
2012-05-10,967.0,2015-01-02
2012-04-25,167.0,2012-10-09
2012-03-18,68.0,2012-05-25
2012-04-15,384.0,2013-05-04
2011-08-10,,
2012-06-22,105.0,2012-10-05
2012-03-21,89.0,2012-06-18
2012-06-22,48.0,2012-08-09
2010-11-22,555.0,2012-05-30
2010-01-13,816.0,2012-04-08
2012-05-13,18.0,2012-05-31
2012-06-01,658.0,2014-03-21
2012-03-21,20.0,2012-04-10
2012-03-23,39.0,2012-05-01
2012-06-15,33.0,2012-07-18
2010-11-03,600.0,2012-06-25
2012-05-14,32.0,2012-06-15
2011-12-09,445.0,2013-02-26
2012-05-14,238.0,2013-01-07
2012-06-15,58.0,2012-08-12
2011-04-22,515.0,2012-09-18
2012-06-25,43.0,2012-08-07
2012-03-27,10.0,2012-04-06
2012-02-06,1897.0,2017-04-17
2012-03-27,778.0,2014-05-14
2012-05-14,230.0,2012-12-30
2012-06-26,81.0,2012-09-15
2012-03-27,32.0,2012-04-28
2012-06-28,163.0,2012-12-08
2012-06-29,65.0,2012-09-02
2011-12-27,173.0,2012-06-17
2012-05-16,186.0,2012-11-18
2012-03-29,,
2012-05-17,100.0,2012-08-25
2011-04-19,383.0,2012-05-06
2012-05-06,794.0,2014-07-09
2011-04-24,2075.0,2016-12-28
2012-06-30,94.0,2012-10-02
2012-01-18,117.0,2012-05-14
2012-05-17,882.0,2014-10-16
2011-02-22,587.0,2012-10-01
2011-07-25,376.0,2012-08-04
2012-06-30,109.0,2012-10-17
2012-04-01,109.0,2012-07-19
2012-06-09,178.0,2012-12-04
2011-10-13,206.0,2012-05-06
2012-07-01,580.0,2014-02-01
2012-05-21,343.0,2013-04-29
2012-05-21,823.0,2014-08-22
2012-03-23,254.0,2012-12-02
2012-04-01,1521.0,2016-05-31
2012-06-22,87.0,2012-09-17
2012-05-22,8.0,2012-05-30
2011-05-26,432.0,2012-07-31
2012-07-02,54.0,2012-08-25
